uf,cidade,qtd_pop
MU,Bacurituba (MA),5644
MU,Balsas (MA),94887
MU,Barão de Grajaú (MA),18820
MU,Barra do Corda (MA),88212
MU,Barreirinhas (MA),62528
MU,Belágua (MA),7469
MU,Bela Vista do Maranhão (MA),11209
MU,Benedito Leite (MA),5632
MU,Bequimão (MA),21280
MU,Bernardo do Mearim (MA),6043
MU,Boa Vista do Gurupi (MA),9287
MU,Bom Jardim (MA),41630
MU,Bom Jesus das Selvas (MA),34028
MU,Bom Lugar (MA),16294
MU,Brejo (MA),36397
MU,Brejo de Areia (MA),9188
MU,Buriti (MA),28678
MU,Buriti Bravo (MA),23884
MU,Buriticupu (MA),72358
MU,Buritirana (MA),15430
MU,Cachoeira Grande (MA),9431
MU,Cajapió (MA),11177
MU,Cajari (MA),19379
MU,Campestre do Maranhão (MA),14374
MU,Cândido Mendes (MA),20178
MU,Cantanhede (MA),21995
MU,Capinzal do Norte (MA),10934
MU,Carolina (MA),24322
MU,Carutapera (MA),23807
MU,Caxias (MA),164880
MU,Cedral (MA),10675
MU,Central do Maranhão (MA),8673
MU,Centro do Guilherme (MA),13458
MU,Centro Novo do Maranhão (MA),21622
MU,Chapadinha (MA),79675
MU,Cidelândia (MA),14697
MU,Codó (MA),122859
MU,Coelho Neto (MA),49435
MU,Colinas (MA),41178
MU,Conceição do Lago-Açu (MA),16237
MU,Coroatá (MA),65296
MU,Cururupu (MA),32695
MU,Davinópolis (MA),12908
MU,Dom Pedro (MA),23350
MU,Duque Bacelar (MA),11349
MU,Esperantinópolis (MA),17241
MU,Estreito (MA),41946
MU,Feira Nova do Maranhão (MA),8504
MU,Fernando Falcão (MA),10360
MU,Formosa da Serra Negra (MA),19089
MU,Fortaleza dos Nogueiras (MA),12631
MU,Fortuna (MA),15552
MU,Godofredo Viana (MA),11819
MU,Gonçalves Dias (MA),17934
MU,Governador Archer (MA),10840
MU,Governador Edison Lobão (MA),18296
MU,Governador Eugênio Barros (MA),16828
MU,Governador Luiz Rocha (MA),7807
MU,Governador Newton Bello (MA),10180
MU,Governador Nunes Freire (MA),25577
MU,Graça Aranha (MA),6262
MU,Grajaú (MA),69527
MU,Guimarães (MA),12030
MU,Humberto de Campos (MA),28717
MU,Icatu (MA),27113
MU,Igarapé do Meio (MA),14177
MU,Igarapé Grande (MA),11320
MU,Imperatriz (MA),258682
MU,Itaipava do Grajaú (MA),16057
MU,Itapecuru Mirim (MA),68203
MU,Itinga do Maranhão (MA),26000
MU,Jatobá (MA),10153
MU,Jenipapo dos Vieiras (MA),16515
MU,João Lisboa (MA),23632
MU,Joselândia (MA),16168
MU,Junco do Maranhão (MA),3432
MU,Lago da Pedra (MA),50266
MU,Lago do Junco (MA),10840
MU,Lago Verde (MA),16257
MU,Lagoa do Mato (MA),11250
MU,Lago dos Rodrigues (MA),8873
MU,Lagoa Grande do Maranhão (MA),11394
MU,Lajeado Novo (MA),7550
MU,Lima Campos (MA),11893
MU,Loreto (MA),12157
MU,Luís Domingues (MA),6951
MU,Magalhães de Almeida (MA),19826
MU,Maracaçumé (MA),21395
MU,Marajá do Sena (MA),7792
MU,Maranhãozinho (MA),16265
MU,Mata Roma (MA),16829
MU,Matinha (MA),23370
MU,Matões (MA),33782
MU,Matões do Norte (MA),16745
MU,Milagres do Maranhão (MA),8464
MU,Mirador (MA),21015
MU,Miranda do Norte (MA),28381
MU,Mirinzal (MA),14962
MU,Monção (MA),33434
MU,Montes Altos (MA),9160
MU,Morros (MA),19433
MU,Nina Rodrigues (MA),14454
MU,Nova Colinas (MA),5384
MU,Nova Iorque (MA),4683
MU,Nova Olinda do Maranhão (MA),20928
MU,Olho d'Água das Cunhãs (MA),19505
MU,Olinda Nova do Maranhão (MA),14701
MU,Paço do Lumiar (MA),122197
MU,Palmeirândia (MA),19722
MU,Paraibano (MA),21386
MU,Parnarama (MA),34907
MU,Passagem Franca (MA),19019
MU,Pastos Bons (MA),19472
MU,Paulino Neves (MA),16035
MU,Paulo Ramos (MA),21040
MU,Pedreiras (MA),39229
MU,Pedro do Rosário (MA),25144
MU,Penalva (MA),38470
MU,Peri Mirim (MA),14318
MU,Peritoró (MA),23196
MU,Pindaré-Mirim (MA),32941
MU,Pinheiro (MA),83387
MU,Pio XII (MA),21485
MU,Pirapemas (MA),18625
MU,Poção de Pedras (MA),17873
